input_node,neighbor_node,weight
87,1738,0.03125
87,1742,0.078125
87,1743,0.015625
87,1751,0.03125
87,1760,0.078125
87,1765,0.0625
87,1766,0.078125
87,1786,0.03125
87,1795,0.078125
87,1803,0.078125
87,1849,0.015625
88,1695,0.02564102564102564
88,1709,0.07692307692307693
88,1713,0.1282051282051282
88,1719,0.10256410256410256
88,1724,0.10256410256410256
88,1730,0.07692307692307693
88,1736,0.02564102564102564
88,1740,0.1282051282051282
88,1757,0.05128205128205128
88,1786,0.10256410256410256
88,1833,0.10256410256410256
88,1857,0.07692307692307693
89,1695,0.037037037037037035
89,1698,0.037037037037037035
89,1700,0.18518518518518517
89,1702,0.18518518518518517
89,1705,0.037037037037037035
89,1706,0.18518518518518517
89,1727,0.18518518518518517
89,1775,0.037037037037037035
89,1798,0.037037037037037035
89,1828,0.037037037037037035
89,1857,0.037037037037037035
90,1695,0.05
90,1698,0.05
90,1727,0.15
90,1734,0.15
90,1746,0.15
90,1835,0.15
90,1836,0.15
90,1837,0.15
91,1695,0.125
91,1756,0.375
91,1776,0.125
91,1802,0.375
92,1695,0.01694915254237288
92,1696,0.1016949152542373
92,1697,0.1016949152542373
92,1698,0.01694915254237288
92,1726,0.0847457627118644
92,1729,0.05084745762711865
92,1734,0.06779661016949153
92,1735,0.05084745762711865
92,1748,0.03389830508474576
92,1755,0.05084745762711865
92,1764,0.06779661016949153
92,1781,0.03389830508474576
92,1786,0.1016949152542373
92,1809,0.01694915254237288
92,1841,0.1016949152542373
92,1847,0.1016949152542373
93,1695,0.03333333333333333
93,1703,0.1
93,1705,0.06666666666666667
93,1715,0.06666666666666667
93,1720,0.06666666666666667
93,1749,0.06666666666666667
93,1755,0.06666666666666667
93,1757,0.06666666666666667
93,1768,0.1
93,1782,0.06666666666666667
93,1788,0.03333333333333333
93,1803,0.03333333333333333
93,1823,0.03333333333333333
93,1831,0.1
93,1850,0.1
94,1695,0.07142857142857142
94,1698,0.07142857142857142
94,1722,0.07142857142857142
94,1728,0.07142857142857142
94,1734,0.07142857142857142
94,1758,0.07142857142857142
94,1764,0.07142857142857142
94,1765,0.07142857142857142
94,1787,0.07142857142857142
94,1804,0.07142857142857142
94,1809,0.07142857142857142
94,1824,0.07142857142857142
94,1839,0.07142857142857142
94,1851,0.07142857142857142
95,1695,0.011111111111111112
95,1698,0.011111111111111112
95,1699,0.05555555555555555
95,1707,0.05555555555555555
95,1709,0.08888888888888889
95,1714,0.1111111111111111
95,1741,0.1111111111111111
95,1742,0.011111111111111112
95,1765,0.044444444444444446
95,1783,0.07777777777777778
95,1790,0.022222222222222223
95,1801,0.044444444444444446
95,1803,0.08888888888888889
95,1804,0.1
95,1822,0.05555555555555555
95,1826,0.1
95,1857,0.011111111111111112
96,1695,0.004149377593360996
96,1696,0.07468879668049792
96,1697,0.0912863070539419
96,1698,0.004149377593360996
96,1700,0.07053941908713693
96,1722,0.04564315352697095
96,1724,0.008298755186721992
96,1730,0.07883817427385892
96,1738,0.04149377593360996
96,1746,0.02074688796680498
96,1750,0.07883817427385892
96,1756,0.016597510373443983
96,1781,0.07468879668049792
96,1786,0.012448132780082987
96,1805,0.07883817427385892
96,1807,0.04564315352697095
96,1810,0.058091286307053944
96,1818,0.058091286307053944
96,1819,0.012448132780082987
96,1820,0.07053941908713693
96,1828,0.004149377593360996
96,1847,0.04979253112033195
97,1695,0.047619047619047616
97,1700,0.09523809523809523
97,1704,0.09523809523809523
97,1708,0.09523809523809523
97,1720,0.047619047619047616
97,1722,0.09523809523809523
97,1740,0.047619047619047616
97,1793,0.09523809523809523
97,1794,0.09523809523809523
97,1830,0.09523809523809523
97,1836,0.09523809523809523
97,1839,0.047619047619047616
97,1857,0.047619047619047616
98,1695,0.029411764705882353
98,1698,0.029411764705882353
98,1699,0.029411764705882353
98,1704,0.14705882352941177
98,1707,0.058823529411764705
98,1721,0.058823529411764705
98,1725,0.14705882352941177
98,1731,0.14705882352941177
98,1745,0.14705882352941177
98,1748,0.08823529411764706
98,1766,0.058823529411764705
98,1790,0.058823529411764705
99,1695,0.16666666666666666
99,1698,0.16666666666666666
